year,community,num_stations_in_comm,season,peak_hour,day,avg_daily_emptiness,avg_daily_bike_avail
2013,LAKE VIEW,4,Winter,Yes,10,74.74025974,6.168831169
2013,LAKE VIEW,4,Winter,Yes,11,83.44155844,4.038961039
2013,LAKE VIEW,4,Winter,Yes,12,74.10810811,6.117117117
2013,LAKE VIEW,4,Winter,Yes,13,79.03431373,5.093137255
2013,LAKE VIEW,4,Winter,Yes,16,74.86403509,6.030701754
2013,LAKE VIEW,4,Winter,Yes,17,78.37356322,5.189655172
2013,LAKE VIEW,4,Winter,Yes,18,65.35497835,7.878787879
2013,LAKE VIEW,4,Winter,Yes,19,75.14285714,5.593073593
2013,LAKE VIEW,4,Winter,Yes,20,71.57333333,6.408888889
2013,LAKE VIEW,4,Winter,Yes,21,68.5021645,7.19047619
2013,LAKE VIEW,4,Winter,Yes,3,55.12121212,10.98181818
2013,LAKE VIEW,4,Winter,Yes,4,58.14285714,10.15584416
2013,LAKE VIEW,4,Winter,Yes,5,70.12820513,7.081196581
2013,LAKE VIEW,4,Winter,Yes,6,73.8245614,6.263157895
2013,LAKE VIEW,4,Winter,Yes,7,75.03030303,5.991341991
2013,LAKE VIEW,4,Winter,Yes,8,75.55263158,6.096491228
2013,LAKE VIEW,4,Winter,Yes,9,71.93859649,6.929824561
2013,LINCOLN PARK,4,Fall,No,1,59.10852018,6.55426009
2013,LINCOLN PARK,4,Fall,No,10,49.91553611,8.269584245
2013,LINCOLN PARK,4,Fall,No,11,45.47994592,8.604776927
2013,LINCOLN PARK,4,Fall,No,12,36.82078407,9.901057872
2013,LINCOLN PARK,4,Fall,No,13,45.27838828,8.732600733
2013,LINCOLN PARK,4,Fall,No,14,47.24623116,8.501954216
2013,LINCOLN PARK,4,Fall,No,15,50.52658789,7.843426883
2013,LINCOLN PARK,4,Fall,No,16,51.34894399,7.809917355
2013,LINCOLN PARK,4,Fall,No,17,51.85250887,7.921439432
2013,LINCOLN PARK,4,Fall,No,18,56.81656805,7.012679628
2013,LINCOLN PARK,4,Fall,No,19,55.86605784,6.913242009
2013,LINCOLN PARK,4,Fall,No,2,46.62770563,8.593073593
